,Duration_Jail,Bond_Amount,Count
"(0, 5000]",60.180153089119734,2009.9822307271734,3658
"(5000, 10000]",72.2001399580126,8639.216235129461,1429
"(10000, 15000]",79.66439290586631,13893.451568894952,733
"(15000, 20000]",66.5688775510204,19234.948979591838,392
"(20000, 25000]",75.81440443213296,24070.637119113573,361
"(25000, 30000]",55.06944444444444,29291.666666666668,216
"(30000, 35000]",57.76923076923077,34005.91715976331,169
"(35000, 40000]",68.34693877551021,39030.61224489796,98
"(40000, 45000]",65.45070422535211,44584.50704225352,71
"(45000, 50000]",86.99386503067484,49779.907975460126,326
"(50000, 55000]",64.39393939393939,53318.181818181816,66
"(55000, 60000]",60.875,59507.8125,64
"(60000, 65000]",26.310344827586206,64241.379310344826,29
"(65000, 70000]",115.1951219512195,69926.82926829268,41
"(70000, 75000]",86.51372549019608,74960.7843137255,255
"(75000, 80000]",118.64864864864865,79432.43243243243,74
"(80000, 85000]",53.1578947368421,84026.31578947368,57
"(85000, 90000]",54.857142857142854,88942.85714285714,35
"(90000, 95000]",39.733333333333334,95000.0,15
"(95000, 100000]",75.75797872340425,99882.97872340426,376
"(100000, 105000]",38.21875,105000.0,32
"(105000, 110000]",69.37037037037037,110000.0,27
"(110000, 115000]",62.90625,114921.875,32
"(115000, 120000]",54.9390243902439,119134.14634146342,82
"(120000, 125000]",55.03125,124562.5,32
"(125000, 130000]",61.10526315789474,130000.0,19
"(130000, 135000]",70.05882352941177,134764.70588235295,17
"(135000, 140000]",79.5,137750.0,4
"(140000, 145000]",28.714285714285715,142107.14285714287,14
"(145000, 150000]",52.014652014652015,149950.54945054944,273
"(150000, 155000]",74.42857142857143,154142.85714285713,21
"(155000, 160000]",59.833333333333336,160000.0,12
"(160000, 165000]",5.0,165000.0,2
"(165000, 170000]",103.95454545454545,169431.81818181818,22
"(170000, 175000]",22.375,175000.0,16
"(175000, 180000]",132.66666666666666,180000.0,21
"(180000, 185000]",47.592592592592595,184814.8148148148,27
"(185000, 190000]",144.0,190000.0,4
"(190000, 195000]",71.16666666666667,195000.0,6
"(195000, 200000]",69.51666666666667,200000.0,120
"(200000, 205000]",337.0,205000.0,1
"(205000, 210000]",35.925925925925924,210000.0,27
"(215000, 220000]",0.0,220000.0,1
"(220000, 225000]",19.529411764705884,225000.0,17
"(225000, 230000]",16.142857142857142,230000.0,7
"(230000, 235000]",3.4285714285714284,232000.0,7
"(235000, 240000]",14.625,240000.0,8
"(245000, 250000]",103.29268292682927,249804.8780487805,164
"(250000, 255000]",24.142857142857142,255000.0,7
"(255000, 260000]",36.943396226415096,258735.84905660377,53
"(260000, 265000]",50.5,265000.0,10
"(265000, 270000]",20.5,267500.0,4
"(270000, 275000]",67.82352941176471,275000.0,34
"(275000, 280000]",66.42857142857143,277857.14285714284,7
"(295000, 300000]",68.11538461538461,300000.0,104
"(305000, 310000]",30.545454545454547,308636.36363636365,11
"(310000, 315000]",108.66666666666667,315000.0,6
"(320000, 325000]",24.571428571428573,325000.0,7
"(325000, 330000]",150.07142857142858,327857.14285714284,14
"(345000, 350000]",45.97959183673469,350000.0,49
"(350000, 355000]",3.0,355000.0,1
"(370000, 375000]",89.16666666666667,375000.0,12
"(395000, 400000]",168.6315789473684,400000.0,19
"(400000, 405000]",130.75,400500.0,4
"(405000, 410000]",106.0,410000.0,2
"(415000, 420000]",1.3333333333333333,420000.0,3
"(420000, 425000]",9.666666666666666,425000.0,3
"(445000, 450000]",10.666666666666666,450000.0,9
"(470000, 475000]",587.4444444444445,475000.0,9
"(495000, 500000]",73.16129032258064,500000.0,93
"(500000, 505000]",3.25,502750.0,4
"(505000, 510000]",89.33333333333333,510000.0,12
"(510000, 515000]",139.0,515000.0,13
"(520000, 525000]",8.0,525000.0,9
"(545000, 550000]",44.18181818181818,550000.0,11
"(570000, 575000]",65.0,575000.0,10
"(595000, 600000]",80.29629629629629,600000.0,27
"(645000, 650000]",418.0,650000.0,3
"(695000, 700000]",40.8,700000.0,5
"(745000, 750000]",1.0,750000.0,1
"(995000, 1000000]",73.39393939393939,1000000.0,33
