,Duration_Jail,Bond_Amount
"(Interval(0, 5000, closed='right'), 'Asian')",0.0,5000.0
"(Interval(0, 5000, closed='right'), 'Black')",56.40629522431259,1868.5202604920405
"(Interval(0, 5000, closed='right'), 'Hispanic')",74.0,3559.0
"(Interval(0, 5000, closed='right'), 'None')",70.76923076923077,3441.025641025641
"(Interval(0, 5000, closed='right'), 'White')",71.85572139303483,2326.8345771144277
"(Interval(5000, 10000, closed='right'), 'Black')",77.49248120300751,8749.473684210527
"(Interval(5000, 10000, closed='right'), 'Hispanic')",34.170731707317074,7604.878048780488
"(Interval(5000, 10000, closed='right'), 'None')",81.0,8500.0
"(Interval(5000, 10000, closed='right'), 'White')",58.88178913738019,8404.792332268371
"(Interval(10000, 15000, closed='right'), 'Black')",85.36363636363636,13909.777015437392
"(Interval(10000, 15000, closed='right'), 'Hispanic')",171.5,15000.0
"(Interval(10000, 15000, closed='right'), 'None')",277.0,14000.0
"(Interval(10000, 15000, closed='right'), 'White')",51.4,13810.344827586207
"(Interval(15000, 20000, closed='right'), 'Black')",78.44781144781145,19353.872053872055
"(Interval(15000, 20000, closed='right'), 'Hispanic')",37.7,20000.0
"(Interval(15000, 20000, closed='right'), 'None')",45.333333333333336,15500.0
"(Interval(15000, 20000, closed='right'), 'White')",26.47222222222222,18687.5
"(Interval(20000, 25000, closed='right'), 'Black')",76.05693950177935,24215.302491103204
"(Interval(20000, 25000, closed='right'), 'Hispanic')",10.75,25000.0
"(Interval(20000, 25000, closed='right'), 'White')",91.015625,23203.125
"(Interval(25000, 30000, closed='right'), 'Asian')",3.3333333333333335,30000.0
"(Interval(25000, 30000, closed='right'), 'Black')",52.091503267973856,29277.777777777777
"(Interval(25000, 30000, closed='right'), 'None')",25.0,30000.0
"(Interval(25000, 30000, closed='right'), 'White')",68.125,29241.071428571428
"(Interval(30000, 35000, closed='right'), 'Black')",56.664,34364.0
"(Interval(30000, 35000, closed='right'), 'White')",60.90909090909091,32988.63636363636
"(Interval(35000, 40000, closed='right'), 'Black')",71.42045454545455,39102.27272727273
"(Interval(35000, 40000, closed='right'), 'White')",41.3,38400.0
"(Interval(40000, 45000, closed='right'), 'Black')",81.8048780487805,44756.09756097561
"(Interval(40000, 45000, closed='right'), 'Hispanic')",41.0,45000.0
"(Interval(40000, 45000, closed='right'), 'White')",43.73913043478261,44152.17391304348
"(Interval(45000, 50000, closed='right'), 'Black')",90.15087719298245,49807.89473684211
"(Interval(45000, 50000, closed='right'), 'Hispanic')",34.7,48600.0
"(Interval(45000, 50000, closed='right'), 'White')",74.83870967741936,49903.22580645161
"(Interval(50000, 55000, closed='right'), 'Black')",73.34,52780.0
"(Interval(50000, 55000, closed='right'), 'Hispanic')",47.111111111111114,55000.0
"(Interval(50000, 55000, closed='right'), 'White')",22.714285714285715,55000.0
"(Interval(55000, 60000, closed='right'), 'Black')",58.25423728813559,59542.372881355936
"(Interval(55000, 60000, closed='right'), 'White')",91.8,59100.0
"(Interval(60000, 65000, closed='right'), 'Black')",26.310344827586206,64241.379310344826
"(Interval(65000, 70000, closed='right'), 'Black')",116.33333333333333,70000.0
"(Interval(65000, 70000, closed='right'), 'White')",93.0,68500.0
"(Interval(70000, 75000, closed='right'), 'Asian')",2.5,75000.0
"(Interval(70000, 75000, closed='right'), 'Black')",83.6926406926407,74956.70995670995
"(Interval(70000, 75000, closed='right'), 'Hispanic')",168.5,75000.0
"(Interval(70000, 75000, closed='right'), 'White')",119.3,75000.0
"(Interval(75000, 80000, closed='right'), 'Black')",152.11764705882354,79529.41176470589
"(Interval(75000, 80000, closed='right'), 'White')",44.43478260869565,79217.39130434782
