Days in Jail,Count
0,5940.0
1,4463.0
2,2846.0
3,2629.0
4,1225.0
5,1819.0
6,1043.0
7,955.0
8,615.0
9,739.0
10,1071.0
11,475.0
12,717.0
13,473.0
14,494.0
15,444.0
16,777.0
17,356.0
18,302.0
19,182.0
20,220.0
21,272.0
22,177.0
23,139.0
24,366.0
25,193.0
26,633.0
27,313.0
28,303.0
29,249.0
30,479.0
31,168.0
32,121.0
33,395.0
34,139.0
35,272.0
36,59.0
37,393.0
38,64.0
39,192.0
40,40.0
41,59.0
42,30.0
43,196.0
44,147.0
45,166.0
46,99.0
47,138.0
48,164.0
49,70.0
50,167.0
51,168.0
52,230.0
53,93.0
54,20.0
55,59.0
56,82.0
57,104.0
58,91.0
59,233.0
60,38.0
61,97.0
62,42.0
63,265.0
64,140.0
65,307.0
66,162.0
67,388.0
68,31.0
69,4.0
70,246.0
71,143.0
74,263.0
75,26.0
76,37.0
77,80.0
78,24.0
79,64.0
80,54.0
81,59.0
82,34.0
83,59.0
84,65.0
85,42.0
86,152.0
87,6.0
88,24.0
89,123.0
90,99.0
91,363.0
92,253.0
93,181.0
94,92.0
95,118.0
96,9.0
97,14.0
98,34.0
99,61.0
100,187.0
101,198.0
102,26.0
103,91.0
104,44.0
105,95.0
106,140.0
107,68.0
108,12.0
109,14.0
110,25.0
111,9.0
112,49.0
114,10.0
117,24.0
118,28.0
119,154.0
121,13.0
123,50.0
124,58.0
125,6.0
126,26.0
127,21.0
128,12.0
129,9.0
130,71.0
131,207.0
132,43.0
133,22.0
134,66.0
136,102.0
137,12.0
138,114.0
139,153.0
140,84.0
141,59.0
142,26.0
143,56.0
145,23.0
146,21.0
147,84.0
148,64.0
149,34.0
150,122.0
152,46.0
154,161.0
157,49.0
158,19.0
159,7.0
160,146.0
161,5.0
162,65.0
164,148.0
166,58.0
167,89.0
168,117.0
169,57.0
170,142.0
171,33.0
172,43.0
175,37.0
176,20.0
178,104.0
180,16.0
182,162.0
185,61.0
186,59.0
188,78.0
191,116.0
192,197.0
193,35.0
194,24.0
196,140.0
197,12.0
198,38.0
200,72.0
205,13.0
206,71.0
207,35.0
211,18.0
212,38.0
213,75.0
216,56.0
217,108.0
218,66.0
223,98.0
224,81.0
226,59.0
227,40.0
229,66.0
233,14.0
235,199.0
236,80.0
237,25.0
239,19.0
240,65.0
245,57.0
249,30.0
250,6.0
251,62.0
258,35.0
260,12.0
264,62.0
277,6.0
278,27.0
280,33.0
282,14.0
283,6.0
284,28.0
286,45.0
287,12.0
289,12.0
293,26.0
301,1.0
304,14.0
307,69.0
308,54.0
318,25.0
320,6.0
333,105.0
337,62.0
346,26.0
359,4.0
362,14.0
365,2169.0
