Age,Race,Sex,Charge,Bond,Duration_Jail
29,Black,M,POSSESSION OF CONTROLLED SUBSTANCE,0.0,-1
51,White,M,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
38,Hispanic,F,DELIVERY OF METHAMPHETAMINE OR COCAINE(2   Counts),2500.0,-1
38,Hispanic,F,POSSESSION OF SCHEDULE IV OR V W/ INTENT,0.0,-1
38,Hispanic,F,POSSESSION SCHED VI W/ INTENT TO DELIVER,0.0,-1
38,Hispanic,F,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
38,Hispanic,F,POSSESSION OF CONTROLLED SUBSTANCE(2   Counts),0.0,-1
24,Black,M,POSSESSION OF CONTROLLED SUBSTANCE,0.0,-1
59,Black,M,POSSESSION OF DRUG PARAPHERNALIA,3500.0,-1
49,Black,M,POSSESSION METH OR COCAINE W/ PURPOSE DE,2500.0,-1
49,Black,M,POSSESSION METH OR COCAINE W/ PURPOSE DE,0.0,-1
49,Black,M,POSSESSION OF SCHEDULE IV OR V W/ INTENT,0.0,-1
30,Black,M,OPEN CONTAINER,0.0,-1
26,None,M,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
59,White,M,SIMULTANEOUS POSSESSION OF DRUGS AND FIR,0.0,-1
59,White,M,POSSESSION METH OR COCAINE W/ PURPOSE DE,0.0,-1
33,White,M,POSSESSION OF DRUG PARAPHERNALIA,1500.0,-1
33,White,M,POSSESSION OF CONTROLLED SUBSTANCE,0.0,-1
39,White,M,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
23,White,M,POSSESSION OF CONTROLLED SUBSTANCE,2500.0,-1
23,White,M,POSSESSION OF CONTROLLED SUBSTANCE(3   Counts),2500.0,-1
23,White,M,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
39,White,F,POSSESSION OF SCH 1 OR 2 W/INTENT TO DEL,0.0,-1
39,White,F,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
39,White,F,POSSESSION METH OR COCAINE W/ PURPOSE DE,0.0,-1
25,White,M,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
35,White,F,POSSESSION OF CONTROLLED SUBSTANCE,125000.0,-1
35,White,F,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
44,White,M,POSSESSION OF DRUG PARAPHERNALIA,2500.0,-1
44,White,M,POSSESSION OF CONTROLLED SUBSTANCE,0.0,-1
48,White,M,POSSESSION OF SCH 1 OR 2 W/INTENT TO DEL,2500.0,-1
48,White,M,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
49,White,M,POSSESSION OF SCH 1 OR 2 W/INTENT TO DEL,2500.0,-1
49,White,M,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
49,White,M,SIMULTANEOUS POSSESSION OF DRUGS AND FIR,0.0,-1
49,White,M,POSSESSION SCHED VI W/ INTENT TO DELIVER,0.0,-1
49,White,M,POSSESSION OF CONTROLLED SUBSTANCE,0.0,-1
49,White,M,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
34,White,M,POSSESSION OF SCH 1 OR 2 W/INTENT TO DEL,0.0,-1
34,White,M,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
57,White,M,POSSESSION OF CONTROLLED SUBSTANCE,2500.0,-1
57,White,M,POSSESSION OF CONTROLLED SUBSTANCE,0.0,-1
57,White,M,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
21,White,M,POSSESSION OF CONTROLLED SUBSTANCE,10000.0,-1
21,White,M,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
53,Hispanic,M,POSSESSION OF DRUG PARAPHERNALIA,1000.0,-1
53,Hispanic,M,OPEN CONTAINER,0.0,-1
39,White,M,OPEN CONTAINER,0.0,-1
37,Black,M,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
37,Black,M,POSSESSION OF CONTROLLED SUBSTANCE,0.0,-1
37,Black,M,POSSESSION OF CONTROLLED SUBSTANCE,0.0,-1
37,Black,M,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
31,White,M,POSSESSION OF DRUG PARAPHERNALIA,1500.0,-1
