Age,Race,Sex,Charge,Bond,Duration_Jail
21,Black,F,HOLD FOR OTHER DEPT,0.0,-1
44,Hispanic,M,HOLD FOR OTHER DEPT,0.0,-1
20,Black,M,HOLD FOR OTHER DEPT,0.0,-1
51,White,M,POSSESSION OF FIREARM BY CERTAIN PERSONS,5000.0,-1
26,p,M,HOLD FOR OTHER DEPT,0.0,-1
26,p,M,HOLD FOR OTHER DEPT,0.0,-1
26,p,M,HOLD FOR OTHER DEPT,0.0,-1
27,Hispanic,F,ACT 309 TRUSTY,0.0,-1
25,Black,M,POSSESSION OF FIREARM BY CERTAIN PERSONS,0.0,-1
25,Black,M,HOLD FOR OTHER DEPT,0.0,-1
25,Black,M,HOLD FOR OTHER DEPT,0.0,-1
41,Hispanic,M,HOLD FOR OTHER DEPT,0.0,-1
44,White,M,HOLD FOR OTHER DEPT,1500.0,-1
44,White,M,HOLD FOR OTHER DEPT,0.0,-1
44,White,M,HOLD FOR OTHER DEPT,0.0,-1
38,Hispanic,F,HOLD FOR OTHER DEPT,0.0,-1
33,White,M,HOLD FOR OTHER DEPT,0.0,-1
33,White,M,HOLD FOR OTHER DEPT,0.0,-1
24,White,M,HOLD FOR OTHER DEPT,0.0,-1
42,White,M,HOLD FOR OTHER DEPT,0.0,-1
45,White,M,PUBLIC INTOXICATION,0.0,-1
45,White,M,PUBLIC INTOXICATION,0.0,-1
53,White,M,HOLD FOR OTHER DEPT,0.0,-1
60,White,M,ACT 309 TRUSTY,0.0,-1
27,White,F,HOLD FOR OTHER DEPT,0.0,-1
40,Black,M,ACT 309 TRUSTY,0.0,-1
34,Black,M,POSSESSION OF FIREARM BY CERTAIN PERSONS,0.0,-1
34,Black,M,CARRYING CERTAIN PROHIBITED WEAPONS,0.0,-1
34,Black,M,HOLD FOR OTHER DEPT,0.0,-1
34,Black,M,POSSESSION OF FIREARM BY CERTAIN PERSONS,5000.0,-1
27,Hispanic,M,ACT 309 TRUSTY,0.0,-1
59,Black,M,HOLD FOR OTHER DEPT,0.0,-1
59,Black,M,HOLD FOR OTHER DEPT,0.0,-1
59,Black,M,HOLD FOR OTHER DEPT,0.0,-1
59,Black,M,HOLD FOR OTHER DEPT,0.0,-1
21,White,M,HOLD FOR OTHER DEPT,0.0,-1
23,Black,F,ACT 309 TRUSTY,0.0,-1
46,White,M,HOLD FOR OTHER DEPT,0.0,-1
46,White,F,HOLD FOR OTHER DEPT,0.0,-1
46,White,F,HOLD FOR OTHER DEPT,0.0,-1
30,Black,M,DWI,2000.0,-1
30,Black,M,VIOL IMPLIED CONSENT,0.0,-1
26,None,M,HOLD FOR OTHER DEPT,0.0,-1
60,Hispanic,M,HOLD FOR OTHER DEPT,0.0,-1
60,Hispanic,M,HOLD FOR OTHER DEPT,0.0,-1
39,White,M,DWI,0.0,-1
39,White,M,HOLD FOR OTHER DEPT,0.0,-1
39,White,M,DWI,0.0,-1
39,White,M,HOLD FOR OTHER DEPT,0.0,-1
39,White,F,HOLD FOR OTHER DEPT,0.0,-1
25,White,M,EXPIRED DRIVERS LIC,0.0,-1
25,White,M,HOLD FOR OTHER DEPT,0.0,-1
30,White,F,ACT 309 TRUSTY,0.0,-1
28,White,F,HOLD FOR OTHER DEPT,0.0,-1
28,White,F,HOLD FOR OTHER DEPT,0.0,-1
31,Black,M,HOLD FOR OTHER DEPT,0.0,-1
37,White,F,HOLD FOR OTHER DEPT,0.0,-1
37,White,F,HOLD FOR OTHER DEPT,0.0,-1
20,White,M,DWI,0.0,-1
37,White,F,ACT 309 TRUSTY,0.0,-1
33,White,F,HOLD FOR OTHER DEPT,0.0,-1
44,White,M,HOLD FOR OTHER DEPT,0.0,-1
44,White,M,HOLD FOR OTHER DEPT,0.0,-1
48,White,M,HOLD FOR OTHER DEPT,0.0,-1
48,White,M,HOLD FOR OTHER DEPT,0.0,-1
22,White,M,PUBLIC INTOXICATION,0.0,-1
27,Black,M,ACT 309 TRUSTY,0.0,-1
49,White,M,POSSESSION OF FIREARM BY CERTAIN PERSONS,0.0,-1
32,White,M,POSSESSION OF FIREARM BY CERTAIN PERSONS,2500.0,-1
32,White,M,HOLD FOR OTHER DEPT,0.0,-1
21,White,M,CRIMINAL USE OF PROHIBITED WEAPON,0.0,-1
23,White,M,HOLD FOR OTHER DEPT,50000.0,-1
38,White,F,HOLD FOR OTHER DEPT,0.0,-1
