Age,Race,Sex,Charge,Bond,Duration_Jail
28,Black,M,CRIMINAL MISCHIEF - 1ST DEGREE,0.0,-1
25,Black,M,THEFT BY RECEIVING,0.0,-1
45,White,M,BREAKING OR ENTERING (THEFT FROM VEHICLE,0.0,-1
45,White,M,CRIMINAL TRESPASS / PREMISES,0.0,-1
24,Black,M,THEFT BY RECEIVING,2500.0,-1
46,White,M,FRAUDULENT USE OF A CREDIT CARD / OTHER,0.0,-1
46,White,M,THEFT BY RECEIVING,0.0,-1
26,None,M,THEFT BY RECEIVING,1500.0,-1
26,None,M,THEFT BY RECEIVING,0.0,-1
33,White,M,LEAVING THE SCENE/PROPERTY DAMAGE,0.0,-1
23,White,M,THEFT OF PROPERTY  MOTOR VEHICLE(4   Counts),10000.0,-1
23,White,M,CRIMINAL TRESPASS / PREMISES,0.0,-1
23,White,M,THEFT BY RECEIVING,0.0,-1
23,White,M,THEFT OF PROPERTY(2   Counts),0.0,-1
23,White,M,BREAKING OR ENTERING (THEFT FROM VEHICLE(2   Counts),0.0,-1
23,White,M,BURGLARY / RESIDENTIAL,3500.0,-1
23,White,M,THEFT OF PROPERTY  MOTOR VEHICLE,0.0,-1
23,White,M,BREAKING OR ENTERING (THEFT FROM VEHICLE,5000.0,-1
23,White,M,BREAKING OR ENTERING ( BUILDING),0.0,-1
25,White,M,THEFT BY RECEIVING,0.0,-1
31,Black,M,THEFT BY RECEIVING,0.0,-1
31,Black,M,BURGLARY / RESIDENTIAL,5000.0,-1
31,Black,M,THEFT OF PROPERTY  MOTOR VEHICLE,0.0,-1
31,Black,M,THEFT BY RECEIVING,0.0,-1
20,White,M,THEFT BY RECEIVING,0.0,-1
24,White,F,THEFT BY RECEIVING,0.0,-1
24,White,F,FRAUDULENT USE OF A CREDIT CARD / OTHER(6   Counts),0.0,-1
32,Black,M,BURGLARY / RESIDENTIAL,0.0,-1
32,Black,M,CRIMINAL MISCHIEF - 1ST DEGREE,0.0,-1
32,Black,M,CRIMINAL MISCHIEF - 1ST DEGREE,1700.0,-1
32,White,M,FINANCIAL IDENTITY FRAUD,0.0,-1
53,Hispanic,M,ACTUAL CONTROL OF VEHICLE,0.0,-1
28,White,M,FORGERY,1500.0,-1
28,White,M,FORGERY(2   Counts),15000.0,-1
28,White,M,THEFT BY RECEIVING(2   Counts),0.0,-1
28,White,M,THEFT OF PROPERTY(5   Counts),0.0,-1
28,White,M,BREAKING OR ENTERING (THEFT FROM VEHICLE(4   Counts),0.0,-1
28,White,M,BURGLARY / RESIDENTIAL,0.0,-1
33,Black,M,BREAKING OR ENTERING ( BUILDING),10000.0,-1
33,Black,M,CRIMINAL MISCHIEF - 2ND DEGREE,0.0,-1
33,Black,M,CRIMINAL MISCHIEF - 1ST DEGREE,0.0,-1
21,White,M,CRIMINAL TRESPASS / PREMISES,215.0,-1
24,Hispanic,M,FORGERY,1500.0,-1
37,White,M,BURGLARY / RESIDENTIAL,5000.0,-1
30,White,M,THEFT BY RECEIVING(2   Counts),0.0,-1
30,White,M,FRAUDULENT USE OF A CREDIT CARD / OTHER(2   Counts),0.0,-1
37,Black,M,NO PROOF OF OWNERSHIP,0.0,-1
37,White,M,THEFT BY RECEIVING,15000.0,-1
37,White,M,POSSESSING INSTRUMENTS OF CRIME,0.0,-1
29,White,M,FORGERY,1500.0,-1
29,White,M,THEFT BY RECEIVING,0.0,-1
29,White,M,THEFT BY RECEIVING,0.0,-1
38,White,M,CRIMINAL MISCHIEF - 1ST DEGREE,0.0,-1
38,White,M,FICTITIOUS VEHICLE LIC/REG.,0.0,-1
42,White,M,FORGERY,2500.0,-1
29,White,M,FORGERY,5000.0,-1
26,Black,M,BREAKING OR ENTERING (THEFT FROM VEHICLE(2   Counts),5000.0,-1
26,Black,M,THEFT OF PROPERTY(2   Counts),0.0,-1
26,Black,M,UNAUTHORIZED USE ANOTHER PERSON PROPERTY,0.0,-1
26,Black,M,FRAUDULENT USE OF A CREDIT CARD / OTHER(12  Counts),0.0,-1
29,White,M,THEFT BY RECEIVING(2   Counts),1301.5,-1
31,White,M,BURGLARY / COMMERCIAL,5000.0,-1
31,White,M,CRIMINAL MISCHIEF - 2ND DEGREE,0.0,-1
31,White,M,BREAKING OR ENTERING ( BUILDING),0.0,-1
31,White,M,BURGLARY / COMMERCIAL,5000.0,-1
50,White,M,THEFT BY RECEIVING,1505.0,-1
50,White,M,POSSESSING INSTRUMENTS OF CRIME,0.0,-1
30,White,F,FORGERY,0.0,-1
30,White,F,CRIMINAL IMPERSONATION,0.0,-1
28,White,F,FINANCIAL IDENTITY FRAUD,0.0,-1
28,White,F,THEFT OF PROPERTY  MOTOR VEHICLE,0.0,-1
32,Black,F,FORGERY(4   Counts),25000.0,-1
32,Black,F,FORGERY,0.0,-1
32,Black,F,FINANCIAL IDENTITY FRAUD,0.0,-1
40,White,M,CRIMINAL MISCHIEF - 1ST DEGREE,0.0,-1
40,White,M,THEFT BY RECEIVING,0.0,-1
24,Black,M,FICTITIOUS VEHICLE LIC/REG.,0.0,-1
24,Black,M,NO PROOF OF OWNERSHIP,0.0,-1
30,White,F,THEFT BY RECEIVING,2500.0,-1
27,Hispanic,M,FORGERY,1500.0,-1
25,White,F,FINANCIAL IDENTITY FRAUD,0.0,-1
25,White,F,THEFT BY RECEIVING,0.0,-1
25,White,F,THEFT BY RECEIVING,0.0,-1
25,White,F,FRAUDULENT USE OF A CREDIT CARD / OTHER(2   Counts),0.0,-1
32,White,M,FINANCIAL IDENTITY FRAUD,0.0,-1
37,White,F,FINANCIAL IDENTITY FRAUD,50000.0,-1
25,Black,M,FINANCIAL IDENTITY FRAUD,5000.0,-1
25,Black,M,BURGLARY / COMMERCIAL,0.0,-1
25,Black,M,BREAKING OR ENTERING ( BUILDING)(2   Counts),0.0,-1
25,Black,M,BURGLARY / RESIDENTIAL,0.0,-1
25,Black,M,BURGLARY / RESIDENTIAL,0.0,-1
25,Black,M,CRIMINAL MISCHIEF - 2ND DEGREE,0.0,-1
38,White,M,CRIMINAL TRESPASS / PREMISES,0.0,-1
47,White,M,CRIMINAL TRESPASS / PREMISES,0.0,-1
44,White,M,CRIMINAL TRESPASS / PREMISES,0.0,-1
40,White,F,"FAILURE TO KEEP RECORDS, ETC - DRUGS",0.0,-1
21,White,M,AGGRAVATED RESIDENTIAL BURGLARY,50000.0,-1
26,White,F,CRIMINAL TRESPASS / PREMISES,0.0,-1
