Age,Race,Sex,Charge,Bond,Duration_Jail
45,White,M,THEFT OF PROPERTY,10000.0,-1
24,Black,M,THEFT OF PROPERTY,685.0,-1
27,White,M,TERRORISTIC THREATENING,25000.0,-1
27,White,M,DOMESTIC BATTERING - 3RD DEGREE,0.0,-1
34,Black,M,THEFT OF PROPERTY,0.0,-1
46,White,M,THEFT OF PROPERTY,0.0,-1
35,Black,F,MURDER - 1ST DEGREE,100000.0,-1
44,White,M,RAPE -FORCIBLE FONDLING,25000.0,-1
44,White,M,SEXUAL ASSAULT 2ND DEGREE,0.0,-1
47,White,M,AGGRAVATED ASSAULT ON A FAMILY OR HOUSEH,0.0,-1
47,White,M,FALSE IMPRISONMENT - 1ST DEGREE,0.0,-1
33,White,M,THEFT OF PROPERTY,1500.0,-1
33,White,M,THEFT OF PROPERTY,7500.0,-1
69,White,M,RAPE / SEXUAL INTERCOURSE(2   Counts),250000.0,-1
69,White,M,SEXUAL ASSAULT 2ND DEGREE(2   Counts),0.0,-1
60,Hispanic,M,SEXUAL ASSAULT 3RD DEGREE,0.0,-1
60,Hispanic,M,ASSAULT ON FAMILY MEMBER 3RD,0.0,-1
60,Hispanic,M,FALSE IMPRISONMENT - 2ND DEGREE,0.0,-1
60,Hispanic,M,SEXUAL ASSAULT 2ND DEGREE,10000.0,-1
23,White,M,THEFT OF PROPERTY,0.0,-1
23,White,M,THEFT OF PROPERTY,0.0,-1
23,White,M,THEFT OF PROPERTY,0.0,-1
25,White,M,THEFT OF PROPERTY (SHOPLIFTING),0.0,-1
31,Black,M,THEFT OF PROPERTY,0.0,-1
32,Black,M,DOMESTIC BATTERING - 3RD DEGREE,0.0,-1
32,Black,M,DOMESTIC BATTERING - 3RD DEGREE,0.0,-1
22,White,M,TERRORISTIC THREATENING,25000.0,-1
22,White,M,DOMESTIC BATTERING - 2ND DEGREE,0.0,-1
39,White,M,DOMESTIC BATTERING - 2ND DEGREE,15000.0,-1
39,White,M,AGGRAVATED ASSAULT ON A FAMILY OR HOUSEH,0.0,-1
39,White,M,DOMESTIC BATTERING - 3RD DEGREE,0.0,-1
28,White,M,ASSAULT ON FAMILY MEMBER 3RD,0.0,-1
28,White,M,FALSE IMPRISONMENT - 2ND DEGREE,0.0,-1
33,Black,M,HARASSMENT,0.0,-1
33,Black,M,AGGRAVATED ASSAULT ON A FAMILY OR HOUSEH,0.0,-1
37,Black,M,TERRORISTIC THREATENING,0.0,-1
37,Black,M,AGGRAVATED ASSAULT ON A FAMILY OR HOUSEH,0.0,-1
31,White,M,AGGRAVATED ASSAULT,0.0,-1
48,White,M,RAPE / SEXUAL INTERCOURSE,0.0,-1
48,White,M,SEXUAL ASSAULT 2ND DEGREE(2   Counts),50000.0,-1
48,White,M,SEXUAL ASSAULT 2ND DEGREE,0.0,-1
37,White,M,FALSE IMPRISONMENT - 1ST DEGREE,0.0,-1
