Sex,Race,Charge,Bond,Duration_Jail
M,Black,DIST/MANF SCH1 DRUG,0.0,-1
M,Black,CRUELTY TO ANIMALS,0.0,16
M,Black,DIST/MANF SCH1 DRUG,0.0,-1
M,Black,POSS SCH 2 DRUGS,0.0,-1
M,Black,DIST/MANF SCH1 DRUG,0.0,-1
M,White,POSS SCH 2 DRUGS,0.0,10
M,Black,POSS SCH 2 DRUGS,0.0,-1
M,Black,DIST/MANF SCH1 DRUG,0.0,-1
M,Black,POSS SCH 2 DRUGS,7500.0,-1
M,Black,POSS SCH 2 DRUGS,0.0,-1
M,None,POSS/DIST MANF SCH I,14000.0,-1
M,Black,DIST/MANF SCH1 DRUG,210000.0,-1
M,None,DIST/MANF SCH1 DRUG,0.0,366
M,Hispanic,POSS SCH 2 DRUGS,5000.0,-1
M,None,SEAT BELT VIOL,0.0,-1
M,None,POSS/DIST MANF SCH I,0.0,-1
M,Black,POSS/DIST MANF SCH I,15000.0,-1
M,Black,DIST/MANF SCH1 DRUG,0.0,-1
M,Black,POSS MARIJUANA/CC,0.0,-1
M,Black,HIT & RUN/CC,0.0,-1
M,Black,SIMPLE KIDNAPPING,0.0,-1
M,Black,POSS MARIJUANA/CC,0.0,-1
M,White,POSS SCH 2 DRUGS,8000.0,-1
M,Black,DIST/MANF SCH1 DRUG,0.0,-1
F,Black,POSS MARIJUANA/CC,0.0,-1
M,Black,POSS SCH 2 DRUGS,0.0,-1
F,Black,POSS MARIJUANA/CC,0.0,-1
M,Black,DIST/MANF SCH1 DRUG,0.0,-1
M,Black,POSS SCH 2 DRUGS,0.0,-1
M,Black,POSS MARIJUANA/CC,0.0,-1
M,White,FAIL TO REG VEH,6300.0,-1
M,Black,POSS SCH 2 DRUGS,5500.0,2
M,Black,POSS MARIJUANA/CC,0.0,-1
M,Black,POSS MARIJUANA/CC,0.0,-1
M,White,POSS MARIJUANA/CC,0.0,-1
F,White,POSS SCH 2 DRUGS,5000.0,1
M,Black,POSS SCH 2 DRUGS,0.0,-1
M,Black,DIST/MANF SCH1 DRUG,6500.0,1
M,Black,CRUELTY TO ANIMALS,0.0,-1
M,Black,POSS MARIJUANA/CC,1000.0,-1
M,Black,POSS SCH 2 DRUGS,0.0,-1
M,Black,IMPROPER LANE USAGE/,0.0,-1
M,Black,POSS MARIJUANA/CC,0.0,-1
M,Black,DIST/MANF SCH1 DRUG,14500.0,-1
M,White,STOP SIGN/YIELD SIGN,0.0,-1
M,Black,FAIL TO REG VEH,0.0,-1
M,Black,ASSAULT/SIMPLE/CC,0.0,-1
M,Black,POSS MARIJUANA/CC,0.0,-1
M,Black,THEFT/MISD/CC,0.0,-1
M,White,FRAUD IN OBT ACCOM,10000.0,-1
M,Black,POSS SCH 2 DRUGS,0.0,-1
M,White,DIST/MANF SCH1 DRUG,0.0,-1
M,Black,DIST/MANF SCH1 DRUG,0.0,186
M,Black,DIST/MANF SCH1 DRUG,0.0,-1
M,Black,STOP SIGN/YIELD SIGN,0.0,-1
M,White,POSS/DIST MANF SCH I,0.0,-1
M,Black,POSS MARIJUANA/CC,0.0,-1
M,Black,SEAT BELT VIOL,0.0,-1
M,Black,DIST/MANF SCH1 DRUG,0.0,-1
M,White,POSS SCH 2 DRUGS,4000.0,-1
M,Black,POSS SCH 2 DRUGS,0.0,-1
M,Black,IMPROPER LANE USAGE/,0.0,-1
M,Black,DIST/MANF SCH1 DRUG,0.0,-1
M,Black,POSS SCH 2 DRUGS,24000.0,-1
