Sex,Race,Charge,Bond,Duration_Jail
M,Black,POSS SCH 1 DRUGS,20000.0,1
F,Black,CRUELTY TO JUVENILES,2500.0,-1
M,Black,DIST/MANF SCH 2 DRUG,0.0,-1
M,Black,DIST/MANF SCH 2 DRUG,0.0,-1
M,Black,ILLEGAL CARRYING OF,0.0,-1
M,Black,POSS SCH 1 DRUGS,15000.0,-1
M,Black,RESISTING AN OFFICER,0.0,-1
M,Black,AGGRAVATED BURGLARY,95000.0,-1
M,Black,THEFT OF A FIREARM,0.0,-1
M,Black,BURGLARY/S INHAB DWE,23000.0,-1
M,Black,ILLEGAL CARRYING OF,35000.0,-1
M,Black,THEFT/MISD/SHOPLIFTI,500.0,-1
M,White,FUGITIVE FROM JUSTIC,0.0,-1
M,White,RESISTING AN OFFICER,0.0,-1
M,Black,RESISTING AN OFFICER,0.0,-1
M,Black,THEFT OF A FIREARM,0.0,-1
M,Black,PROBATION OR PAROLE,0.0,-1
M,Black,DOMESTIC ABUSE BATTE,70000.0,-1
M,Black,POSS/DIST MANF CULT,0.0,-1
M,Black,POSS/DIST MANUF SCHE,0.0,-1
M,None,FUGITIVE FROM JUSTIC,0.0,-1
M,None,CONTRABAND PENAL INS,0.0,-1
F,White,FUGITIVE FROM JUSTIC,0.0,9
F,White,UNAU ENTRY INHAB DWE,5000.0,9
M,Black,DIST/MANF SCH 2 DRUG,0.0,-1
M,Hispanic,FUGITIVE FROM JUSTIC,0.0,-1
M,None,D/L REQUIRED (STATE),0.0,-1
M,None,D/L REQUIRED (STATE),0.0,-1
M,None,CONTRABAND PENAL INS,0.0,-1
M,None,POSS/DIST MANF CULT,0.0,-1
M,Black,THEFT OF A FIREARM,0.0,-1
M,Black,DOMESTIC ABUSE BATTE,10000.0,-1
M,Black,DIST/MANF SCH 2 DRUG,0.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,Black,UNAU ENTRY INHAB DWE,17500.0,-1
M,Black,RESISTING AN OFFICER,0.0,-1
M,White,DOMESTIC ABUSE BATTE,2500.0,-1
M,Black,PROBATION OR PAROLE,0.0,-1
M,Black,POSS SCH 1 DRUGS,15500.0,9
M,Black,RESISTING AN OFFICER,0.0,9
M,White,THEFT/MISD/SHOPLIFTI,0.0,-1
M,Black,CRUELTY TO JUVENILES,0.0,1210
M,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,White,POSS SCH 1 DRUGS,0.0,-1
M,White,POSS/DIST MANUF SCHE,0.0,-1
M,White,FUGITIVE FROM JUSTIC,0.0,77
M,Black,RESISTING AN OFFICER,0.0,1
M,Black,CRUELTY TO JUVENILES,0.0,-1
M,Hispanic,UNAU ENTRY INHAB DWE,100000.0,-1
M,Hispanic,FUGITIVE FROM JUSTIC,0.0,-1
M,None,D/L REQUIRED (STATE),0.0,-1
M,White,FUGITIVE FROM JUSTIC,0.0,31
M,Black,CRUELTY TO JUVENILES,7000.0,-1
M,Black,BURGLARY/S INHAB DWE,15000.0,25
M,Black,POSS SCH 1 DRUGS,33500.0,-1
M,Black,RESISTING AN OFFICER,0.0,-1
F,Black,UNAU ENTRY INHAB DWE,3500.0,-1
M,White,RESISTING AN OFFICER,0.0,-1
M,Black,POSS SCH 1 DRUGS,0.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,Black,SEX OFFENDER REGISTR,150000.0,-1
M,White,FUGITIVE FROM JUSTIC,0.0,-1
M,White,RESISTING AN OFFICER,0.0,-1
M,White,SEX OFFENDER REGISTR,0.0,-1
M,White,D/L REQUIRED (STATE),0.0,-1
F,White,RESISTING AN OFFICER,0.0,10
F,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,Black,SEX OFFENDER REGISTR,15000.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,2
M,Black,FUGITIVE FROM JUSTIC,0.0,5
M,Black,DOMESTIC ABUSE BATTE,0.0,5
M,Black,PROBATION OR PAROLE,0.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,Black,DIST/MANF SCH 2 DRUG,7000.0,-1
M,Black,ILLEGAL CARRYING OF,275000.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,Black,SEX OFFENDER REGISTR,5000.0,-1
M,Black,THEFT/MISD/SHOPLIFTI,500.0,-1
M,Black,THEFT/MISD/SHOPLIFTI,0.0,-1
M,Black,THEFT/MISD/SHOPLIFTI,500.0,-1
M,Black,THEFT/MISD/SHOPLIFTI,500.0,-1
M,Black,THEFT/MISD/SHOPLIFTI,500.0,-1
M,Black,THEFT/MISD/SHOPLIFTI,500.0,-1
M,Black,POSS SCH 1 DRUGS,5000.0,5
M,Black,RESISTING AN OFFICER,0.0,5
M,White,PROBATION OR PAROLE,0.0,131
M,Black,RESISTING AN OFFICER,0.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,3
M,Black,SIMPLE ESCAPE,0.0,-1
M,Black,POSS  MARIJUANA,0.0,-1
M,Black,DOMESTIC ABUSE BATTE,12500.0,-1
M,Black,RESISTING AN OFFICER,0.0,-1
M,Black,ILLEGAL CARRYING OF,0.0,-1
M,Black,POSS SCH 1 DRUGS,0.0,-1
M,Black,THEFT/MISD/SHOPLIFTI,0.0,-1
M,Black,POSS SCH 1 DRUGS,32500.0,-1
M,Black,THEFT/MISD/SHOPLIFTI,0.0,-1
M,Black,DOMESTIC ABUSE BATTE,0.0,-1
M,Black,DOMESTIC ABUSE BATTE,100000.0,-1
F,Black,THEFT/MISD/SHOPLIFTI,500.0,-1
F,Black,THEFT/MISD/SHOPLIFTI,0.0,-1
M,Black,AGGRAVATED BURGLARY,0.0,-1
M,Black,ILLEGAL CARRYING OF,0.0,-1
F,Black,CRUELTY TO JUVENILES,0.0,-1
M,Black,RESISTING AN OFFICER,0.0,-1
M,Black,RESISTING AN OFFICER,0.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,Black,RESISTING AN OFFICER,0.0,-1
M,Black,POSS SCH 1 DRUGS,0.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,White,THEFT/MISD/SHOPLIFTI,500.0,-1
F,Black,RESISTING AN OFFICER,0.0,-1
M,Black,STOPPING VEH IN ROAD,0.0,-1
M,Black,POSS SCH I / HEROIN,19500.0,-1
M,Black,POSS  MARIJUANA,0.0,-1
M,Black,DOMESTIC ABUSE BATTE,4000.0,-1
M,Black,VEH TRESPASS,500.0,-1
M,White,FLEE TO ELUDE POLICE,0.0,-1
M,White,THEFT/MISD/SHOPLIFTI,0.0,-1
M,White,PROBATION OR PAROLE,0.0,-1
M,Black,ISS WORTHLESS CHECKS,10000.0,3
M,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,Black,POSS SCH 1 DRUGS,0.0,-1
M,Black,RESISTING AN OFFICER,0.0,-1
M,Black,UNAU ENTRY INHAB DWE,0.0,-1
M,White,RESISTING AN OFFICER,500.0,-1
M,White,FUGITIVE FROM JUSTIC,0.0,-1
M,White,POSS SCH 1 DRUGS,10000.0,-1
F,Black,CRIMINAL MISCHIEF,17250.0,-1
F,Black,CYBERSTALKING,0.0,-1
M,Black,ILLEGAL CARRYING OF,10000.0,-1
M,Black,SIMPLE ESCAPE,0.0,-1
M,Black,RESISTING AN OFFICER,0.0,-1
F,White,RESISTING AN OFFICER,2390.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,White,RESISTING AN OFFICER,0.0,-1
M,Black,PROBATION OR PAROLE,0.0,-1
M,Black,PROBATION OR PAROLE,0.0,-1
M,White,RESISTING AN OFFICER,1000.0,4
M,White,POSS/DIST MANUF SCHE,68500.0,-1
M,White,POSS SCH 1 DRUGS,0.0,-1
M,Black,ILLEGAL CARRYING OF,0.0,186
M,Black,FUGITIVE FROM JUSTIC,0.0,186
M,Black,POSS SCH 1 DRUGS,0.0,-1
M,Black,AGGRAVATED BURGLARY,0.0,-1
M,Black,THEFT/MISD/SHOPLIFTI,0.0,-1
F,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,Black,INCEST/AGGRAVATED,200000.0,-1
M,Black,DOMESTIC ABUSE BATTE,0.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,Black,AGGRAVATED BURGLARY,100000.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,Black,DIST/MANF SCH 2 DRUG,35000.0,-1
F,Black,FUGITIVE FROM JUSTIC,0.0,-1
F,Black,RESISTING AN OFFICER,0.0,-1
M,Black,DOMESTIC ABUSE BATTE,10000.0,0
M,Black,PROBATION OR PAROLE,0.0,-1
M,Black,POSS SCH 1 DRUGS,0.0,-1
M,Black,GENERAL SPEED LAW,0.0,-1
M,Black,DIST/MANF SCH 2 DRUG,50000.0,-1
M,Black,DIST/MANF SCH 2 DRUG,0.0,-1
M,Black,DIST/MANF SCH 3 DRUG,0.0,-1
M,Black,RESISTING AN OFFICER,0.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,0
M,Black,DIST/MANF SCH 2 DRUG,0.0,-1
M,White,FUGITIVE FROM JUSTIC,0.0,-1
M,Black,POSS/DIST MANF CULT,0.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,Black,OBTAINING/CDS BY FRA,2500.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,Black,DIST/MANF SCH 2 DRUG,0.0,-1
M,Black,FUGITIVE FROM JUSTIC,0.0,-1
M,Black,BURGLARY/S INHAB DWE,15000.0,-1
M,Black,BURGLARY/S INHAB DWE,0.0,-1
M,Black,BURGLARY/S INHAB DWE,15000.0,-1
M,Black,AGGRAVATED BURGLARY,0.0,-1
M,Black,THEFT OF A FIREARM,0.0,-1
