Sex,Race,Charge,Bond,Duration_Jail
F,White,HOLD/RET OTHER AGENC,0.0,-1
M,Black,SECOND DEGREE MURDER,260000.0,-1
M,White,HOLD/RET OTHER AGENC,0.0,13
M,Black,SECOND DEGREE MURDER,75000.0,-1
M,White,BURGLARY/SIMPLE,10000.0,-1
M,White,OBSTRUCTION OF JUSTI,0.0,10
M,Black,BURGLARY/SIMPLE,0.0,-1
M,Black,SCH I / LESS THAN 2,0.0,-1
M,Black,POSS SCH 1 / MARIJUA,3500.0,0
F,Black,SIMPLE BATTERY,15000.0,-1
F,Black,UNAUTHORIZED USE OF,0.0,-1
F,Black,ILL USE OF 911/CC,0.0,-1
M,None,FIRST DEGREE MURDER,0.0,-1
M,None,SECOND DEGREE KIDNAP,30000.0,-1
M,Black,SECOND DEGREE MURDER,210000.0,-1
M,Black,OBSTRUCTION OF JUSTI,0.0,-1
M,Hispanic,THEFT/MISD,200.0,-1
M,None,SIMPLE ASSAULT,0.0,-1
M,None,LIC PLATE REQUIRED/S,0.0,-1
M,None,INSURANCE REQUIRED,0.0,-1
M,Black,BURGLARY/SIMPLE,80000.0,-1
M,Black,BURGLARY/SIMPLE,35000.0,-1
M,Black,BURGLARY/SIMPLE,0.0,-1
M,Black,BURGLARY/SIMPLE,0.0,-1
M,Black,BURGLARY/SIMPLE,0.0,-1
M,Black,BURGLARY/SIMPLE,0.0,-1
M,Black,BURGLARY/SIMPLE,0.0,-1
M,Black,BURGLARY/SIMPLE,0.0,-1
M,Black,BURGLARY/SIMPLE,0.0,-1
M,Black,BURGLARY/SIMPLE,8000.0,-1
M,Black,BURGLARY/SIMPLE,0.0,-1
M,Black,BURGLARY/SIMPLE,0.0,-1
M,Black,SIMPLE ROBBERY,0.0,-1
M,Black,BATT/DATING PARTNER,0.0,-1
M,Black,INSURANCE REQUIRED,0.0,-1
M,Black,DWI 2ND OFFENSE,0.0,-1
M,Black,RECK OPER OF VEHICLE,0.0,-1
M,Black,LIC PLATE REQUIRED,0.0,-1
M,Black,INSURANCE REQUIRED,0.0,-1
M,Black,BURGLARY/SIMPLE,5000.0,-1
F,Black,AGGRAVATED BATTERY,15000.0,-1
M,Black,HOLD/RET OTHER AGENC,0.0,-1
M,Black,SECOND DEGREE MURDER,100000.0,-1
M,Black,BURGLARY/SIMPLE,0.0,-1
M,Black,RECK OPER OF VEHICLE,3400.0,-1
M,Black,INSURANCE REQUIRED,0.0,-1
M,Black,SIMPLE ROBBERY,0.0,-1
M,Black,BANK FRAUD,10000.0,9
M,Black,RECK OPER OF VEHICLE,0.0,-1
M,Black,AGGRAVATED BATTERY,0.0,-1
M,Black,SECOND DEGREE MURDER,0.0,-1
M,Black,FIRST DEGREE MURDER,100000.0,-1
M,Black,AGGRAVATED BATTERY,8000.0,-1
M,Black,SIMPLE ASSAULT,0.0,-1
M,Black,FIRST DEGREE MURDER,0.0,-1
M,Black,SEAT BELT VIOL/CC,0.0,-1
M,Black,POSS OF DRUG PARAPHE,0.0,-1
M,None,IMPROPER LANE USAGE,0.0,-1
M,Black,HOLD/RET OTHER AGENC,0.0,-1
M,White,SEAT BELT VIOL/CC,0.0,31
F,Black,DIST/PEACE,0.0,0
M,White,STALKING,10000.0,-1
M,Black,FIRST DEGREE MURDER,0.0,-1
M,Black,FIRST DEGREE MURDER,185000.0,-1
M,Black,ARMED ROBBERY,0.0,-1
M,Black,COURT ORDER,0.0,-1
M,Black,HOLD/RET OTHER AGENC,0.0,-1
M,White,LITTERING IN PUBLIC,0.0,74
M,Black,POSS SCH 1 / MARIJUA,0.0,-1
M,Black,POSS OF DRUG PARAPHE,0.0,-1
M,Black,SEAT BELT VIOL/CC,0.0,-1
F,Black,POSSESSION DRUG PARA,1250.0,-1
M,White,BURGLARY/SIMPLE,20000.0,-1
M,Black,HOLD/RET OTHER AGENC,0.0,-1
