Sex,Race,Charge,Bond,Duration_Jail
F,Black,WARRANT/BENCH WARRAN,0.0,-1
F,Black,CRIM DAM TO PROP/SIM,0.0,-1
F,Black,BATT/SIMPLE/CC,500.0,-1
F,Black,EQUIPMENT VIOL/CC,0.0,-1
M,White,UNKNOWN CHARGE FROM,0.0,-1
M,Black,UNKNOWN CHARGE FROM,0.0,-1
M,Black,UNKNOWN CHARGE FROM,0.0,-1
M,Black,POSS LEGEND DRUG,0.0,-1
M,Black,D/L SUSP/REV,0.0,-1
M,Black,WARRANT/BENCH WARRAN,0.0,-1
M,Black,THEFT,0.0,-1
M,Black,THEFT,0.0,-1
M,Black,D/L NOT IN POSS/CC,0.0,-1
M,Black,OTHER LAWS OF THE RO,0.0,-1
M,Black,HOME INVASION,7500.0,-1
M,Black,POSS SCH 3 DRUGS,0.0,-1
M,Black,WARRANT/BENCH WARRAN,0.0,-1
M,Black,TERRORIZING,40000.0,-1
M,Black,ILL USE OF A WEAPON,0.0,-1
M,Black,UNAU USE OF MOTOR VE,65000.0,-1
M,Black,CRIM DAM TO PROP/AGG,0.0,-1
M,Black,THEFT,0.0,-1
M,Black,WARRANT/BENCH WARRAN,0.0,-1
M,Black,UNKNOWN CHARGE FROM,0.0,-1
M,Black,WARRANT/BENCH WARRAN,0.0,2
M,Black,CRIM DAM TO PROP/AGG,0.0,435
M,White,"FAIL TO SIGNAL, IMPR",10000.0,10
M,White,WARRANT/BENCH WARRAN,0.0,10
M,White,WARRANT/BENCH WARRAN,0.0,10
M,White,SPEEDING/CC,0.0,10
M,Black,BATTERY OF A POLICE,0.0,-1
M,Black,THEFT,0.0,-1
M,Black,WARRANT/BENCH WARRAN,500.0,4
M,Black,WARRANT/BENCH WARRAN,0.0,0
F,White,THEFT,0.0,-1
M,Black,ILL USE OF A WEAPON,0.0,-1
M,None,HIT & RUN,0.0,-1
M,Black,THEFT,0.0,-1
M,Black,WARRANT/BENCH WARRAN,10000.0,-1
M,Black,BATT/SIMPLE/CC,500.0,-1
M,Black,BATT/SIMPLE/CC,0.0,-1
M,Black,UNAU USE OF MOTOR VE,0.0,-1
M,Black,HIT & RUN,0.0,-1
M,Black,D/L SUSP/REV,0.0,-1
M,Black,WARRANT/BENCH WARRAN,0.0,-1
M,Black,UNKNOWN CHARGE FROM,0.0,-1
M,White,WARRANT/BENCH WARRAN,1250.0,1
M,Black,WARRANT/BENCH WARRAN,0.0,-1
M,Black,D/L NOT IN POSS/CC,0.0,-1
M,Black,ILL USE OF A WEAPON,0.0,-1
M,Black,SECOND DEGREE RAPE/F,15000.0,-1
M,Black,ORAL SEXUAL BATTERY,0.0,-1
M,White,WARRANT/BENCH WARRAN,0.0,-1
M,White,UNAU USE OF MOTOR VE,0.0,-1
M,White,IDENTITY THEFT,10000.0,-1
M,White,THEFT,0.0,-1
M,White,MONETARY INSTRUMENT,0.0,-1
M,Black,MONETARY INSTRUMENT,0.0,9
M,Black,THEFT,0.0,9
M,Black,EQUIPMENT VIOL/CC,0.0,1210
M,Black,WARRANT/BENCH WARRAN,0.0,-1
M,Black,WARRANT/BENCH WARRAN,750.0,-1
M,Black,WARRANT/BENCH WARRAN,0.0,-1
M,Black,SPEEDING/CC,600.0,-1
M,Black,D/L NOT IN POSS/CC,0.0,-1
M,Black,WARRANT/BENCH WARRAN,0.0,-1
M,Black,WARRANT/BENCH WARRAN,0.0,-1
M,White,UNAU USE OF MOTOR VE,80000.0,-1
M,White,WARRANT/BENCH WARRAN,0.0,-1
M,White,THEFT,0.0,77
M,Black,ILL USE OF A WEAPON,0.0,-1
M,Black,UNKNOWN CHARGE FROM,0.0,-1
M,Black,UNAU USE OF MOTOR VE,5000.0,-1
M,Black,UNKNOWN CHARGE FROM,0.0,-1
M,Black,WARRANT/BENCH WARRAN,0.0,-1
M,Black,D/L NOT IN POSS/CC,0.0,-1
M,Black,WARRANT/BENCH WARRAN,0.0,-1
M,White,DRINKING IN PUBLIC/C,0.0,31
F,Black,THEFT,50000.0,-1
M,Black,ILL USE OF A WEAPON,0.0,-1
M,White,DRINKING IN PUBLIC/C,0.0,74
M,White,THEFT,0.0,74
M,Black,D/L NOT IN POSS/CC,0.0,-1
M,Black,UNKNOWN CHARGE FROM,0.0,-1
F,Black,WARRANT/BENCH WARRAN,0.0,-1
F,Black,BATT/SIMPLE/CC,0.0,-1
M,Black,UNKNOWN CHARGE FROM,0.0,-1
F,Black,UNAU USE OF MOTOR VE,0.0,-1
M,Black,UNKNOWN CHARGE FROM,0.0,-1
M,Black,WARRANT/BENCH WARRAN,0.0,-1
M,Black,D/L SUSP/REV,0.0,-1
M,Black,WARRANT/BENCH WARRAN,0.0,-1
F,White,ENT/REM AFTER FORB/C,0.0,10
M,White,WARRANT/BENCH WARRAN,0.0,5
M,White,WARRANT/BENCH WARRAN,0.0,5
M,White,WARRANT/BENCH WARRAN,0.0,5
M,White,WARRANT/BENCH WARRAN,0.0,5
M,White,WARRANT/BENCH WARRAN,0.0,5
F,Black,WARRANT/BENCH WARRAN,0.0,-1
F,Black,IDENTITY THEFT,0.0,-1
M,White,WARRANT/BENCH WARRAN,0.0,-1
M,White,WARRANT/BENCH WARRAN,0.0,-1
F,Black,ENT/REM AFTER FORB/C,0.0,-1
M,Black,WARRANT/BENCH WARRAN,0.0,2
M,Black,THEFT,6000.0,-1
M,Black,THEFT,0.0,-1
M,Black,UNKNOWN CHARGE FROM,0.0,-1
M,Black,EQUIPMENT VIOL/CC,0.0,-1
M,Black,SPEEDING/CC,0.0,-1
M,Black,UNKNOWN CHARGE FROM,0.0,-1
M,None,THEFT,10000.0,0
M,White,WARRANT/BENCH WARRAN,0.0,-1
M,Black,TERRORIZING,0.0,-1
M,White,UNKNOWN CHARGE FROM,0.0,-1
M,Black,ASSAULT BY DRIVE-BY,0.0,-1
M,Black,ILL USE OF A WEAPON,0.0,-1
