bond_info,charges,race,gender,first_statute
1000.0,215.50 MA (CRIMINAL CONTEMP- 2ND A Misdemeanor),Black,Male,21550
150000.0,110-125.25 FB (Attempted MURDER B Felony) |110-160.10 FD (Attempted ROBBERY-2ND D Felony),Other,Male,110125
3513.0,140.20 FD (BURGLARY-3RD D Felony) |155.25 MA (PETIT LARCENY A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor) |220.03 MA (CRIM POSS CONTRL SUBST A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor),Black,Male,14020
19999.0,110-120.10 FC (Attempted ASSAULT-1ST C Felony) |AC 000.00 UZ,Other,Male,110120
10501.0,170.10 FD (FORGERY-2ND D Felony) |215.50 MA (CRIMINAL CONTEMP- 2ND A Misdemeanor) |120.00 MA (ASSAULT-3RD A Misdemeanor),White,Male,17010
50000.0,215.51 FE (CRIMINAL CONTEMPT-1ST E Felony) |265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony),Other,Male,21551
2501.0,120.00 MA (ASSAULT-3RD A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor),Black,Female,12000
20002.0,220.39 FB (CRIM SALE CONTRL SUBST B Felony) |220.39 FB (CRIM SALE CONTRL SUBST B Felony) |215.57 FD (BAIL JUMPING - 1ST DEGREE D Felony),Black,Male,22039
50001.0,511(1)(A) MT|110-125.25 FB (Attempted MURDER B Felony),Black,Male,5111
300000.0,CO ZT (Court Order ),Other,Male,0
25000.0,215.50 MA (CRIMINAL CONTEMP- 2ND A Misdemeanor),Black,Male,21550
100001.0,160.15 FB (ROBBERY-1ST B Felony) |220.03 MA (CRIM POSS CONTRL SUBST A Misdemeanor),Other,Male,16015
150000.0,160.05 FD (ROBBERY-3RD D Felony) |140.25 FC (BURGLARY-2ND C Felony),White,Male,16005
1500.0,215.50 MA (CRIMINAL CONTEMP- 2ND A Misdemeanor),Asian,Male,21550
52500.0,110-160.10 FD (Attempted ROBBERY-2ND D Felony) |120.00 MA (ASSAULT-3RD A Misdemeanor) |160.10 FC (ROBBERY-2ND C Felony),Black,Male,110160
75000.0,130.75 FB (COURSE SEX CONDUCT-CHILD 1ST B Felony),White,Male,13075
