bond_info,charges,race,gender,first_statute
1001.0,130.52 MA (FORCIBLE TOUCHING A Misdemeanor) |220.03 MA (CRIM POSS CONTRL SUBST A Misdemeanor),Other,Male,13052
10000000.0,125.25 FA (MURDER A Felony),Black,Male,12525
10000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
5500.0,121.12 FD ( D Felony) |120.00 MA (ASSAULT-3RD A Misdemeanor),Black,Male,12112
25000.0,140.25 FC (BURGLARY-2ND C Felony),Black,Male,14025
25000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
150000.0,125.25 FA (MURDER A Felony),Black,Male,12525
25000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
75000.0,160.15 FB (ROBBERY-1ST B Felony),Other,Male,16015
75001.0,110-120.10 FC (Attempted ASSAULT-1ST C Felony) |176.20 FD (INSURANCE FRAUD-3RD:&gt; $3000 D Felony),Black,Male,110120
35000.0,110-140.30 FC (Attempted BURGLARY-1ST C Felony),Other,Male,110140
150000.0,130.35 FB (RAPE-1ST B Felony),Unknown,Male,13035
50000.0,140.25 FC (BURGLARY-2ND C Felony),White,Male,14025
250000.0,130.35 FB (RAPE-1ST B Felony),Black,Male,13035
5000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
50000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
65000.0,120.05 FD (ASSAULT -2ND D Felony) |120.05 FD (ASSAULT -2ND D Felony),Other,Male,12005
74999.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony) |AC 000.00 UZ,Black,Male,26503
20000.0,140.25 FC (BURGLARY-2ND C Felony),Other,Male,14025
150000.0,130.35 FB (RAPE-1ST B Felony),Black,Male,13035
25000.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony) |CO ZT (Court Order ),Black,Male,26503
500000.0,125.25 FA (MURDER A Felony),Other,Male,12525
19999.0,160.10 FC (ROBBERY-2ND C Felony) |AC 000.00 UZ,Black,Male,16010
20000.0,265.09 FB (CRIM USE FIREARM-1ST DEG B Felony),Other,Male,26509
250000.0,110-125.22 FC ( C Felony),White,Female,110125
280000.0,110-120.10 FC (Attempted ASSAULT-1ST C Felony) |140.25 FC (BURGLARY-2ND C Felony),Black,Male,110120
100000.0,125.25 FA (MURDER A Felony),Black,Male,12525
85001.0,110-140.25 FD (Attempted BURGLARY-2ND D Felony) |120.50 MA (STALKING 3RD DEGREE A Misdemeanor) |120.05 FD (ASSAULT -2ND D Felony),Black,Male,110140
500000.0,130.35 FB (RAPE-1ST B Felony),Black,Male,13035
110000.0,160.10 FC (ROBBERY-2ND C Felony) |130.35 FB (RAPE-1ST B Felony),Black,Male,16010
350000.0,125.25 FA (MURDER A Felony),Black,Male,12525
1502.0,215.50 MA (CRIMINAL CONTEMP- 2ND A Misdemeanor) |120.00 MA (ASSAULT-3RD A Misdemeanor) |120.00 MA (ASSAULT-3RD A Misdemeanor),Black,Male,21550
249999.0,110-125.25 FB (Attempted MURDER B Felony) |CO ZT (Court Order ),Other,Male,110125
250001.0,220.21 FA (CRIM POSS CONTRL SUBSTANCE-1ST A Felony) |130.52 MA (FORCIBLE TOUCHING A Misdemeanor),Other,Male,22021
50000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
20000.0,160.15 FB (ROBBERY-1ST B Felony),White,Male,16015
150000.0,130.35 FB (RAPE-1ST B Felony),Black,Male,13035
