bond_info,charges,race,gender,first_statute
250000.0,130.96 FA ( A Felony),Black,Male,13096
500.0,VTL 511 MA ( A Misdemeanor),Other,Male,0
250000.0,135.20 FB (KIDNAPPING 2ND B Felony),Black,Male,13520
250000.0,140.30 FB (BURGLARY-1ST B Felony),Black,Male,14030
100000.0,140.30 FB (BURGLARY-1ST B Felony),Black,Male,14030
20001.0,215.50 MA (CRIMINAL CONTEMP- 2ND A Misdemeanor) |215.51 FE (CRIMINAL CONTEMPT-1ST E Felony),Black,Male,21550
25000.0,140.30 FB (BURGLARY-1ST B Felony),Black,Male,14030
50000.0,215.52 FD (AGGRAVATED CRIM CONTEMPT D Felony) |140.25 FC (BURGLARY-2ND C Felony),Other,Male,21552
100000.0,140.30 FB (BURGLARY-1ST B Felony),Black,Male,14030
250000.0,125.15 FC (MANSLAUGHTER-2ND C Felony),Black,Male,12515
50000.0,265.12 FC (CRIM SALE OF FIREARM 2ND-DEG C Felony),Black,Male,26512
7500.0,110-160.10 FD (Attempted ROBBERY-2ND D Felony),Black,Male,110160
5000.0,110-160.10 FD (Attempted ROBBERY-2ND D Felony),Black,Male,110160
100002.0,160.15 FB (ROBBERY-1ST B Felony) |165.25 MA (JOSTLING A Misdemeanor) |110-155.30 MA (Attempted GRAND LARCENY-4TH A Misdemeanor) |160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
250000.0,160.15 FB (ROBBERY-1ST B Felony) |110-265.03 FD (Attempted CRIM POSS WEAPON- 2ND DEGREE D Felony),Black,Male,16015
5005.0,215.50 MA (CRIMINAL CONTEMP- 2ND A Misdemeanor) |215.50 MA (CRIMINAL CONTEMP- 2ND A Misdemeanor) |120.00 MA (ASSAULT-3RD A Misdemeanor) |120.00 MA (ASSAULT-3RD A Misdemeanor) |120.00 MA (ASSAULT-3RD A Misdemeanor) |120.00 MA (ASSAULT-3RD A Misdemeanor) |215.50 MA (CRIMINAL CONTEMP- 2ND A Misdemeanor),Black,Male,21550
200001.0,110-125.25 FB (Attempted MURDER B Felony) |155.25 MA (PETIT LARCENY A Misdemeanor),Black,Male,110125
250000.0,130.96 FA ( A Felony),Black,Male,13096
15001.0,110-120.10 FC (Attempted ASSAULT-1ST C Felony) |AC 999.99 FE ( E Felony),Black,Male,110120
10000.0,140.30 FB (BURGLARY-1ST B Felony),Black,Male,14030
25000.0,140.30 FB (BURGLARY-1ST B Felony),Black,Male,14030
20000.0,110-160.10 FD (Attempted ROBBERY-2ND D Felony),Black,Male,110160
500000.0,220.21 FA (CRIM POSS CONTRL SUBSTANCE-1ST A Felony),Black,Male,22021
350000.0,220.21 FA (CRIM POSS CONTRL SUBSTANCE-1ST A Felony),White,Male,22021
2500.0,110-160.10 FD (Attempted ROBBERY-2ND D Felony),Black,Male,110160
75000.0,140.30 FB (BURGLARY-1ST B Felony),Black,Male,14030
10001.0,155.25 MA (PETIT LARCENY A Misdemeanor) |155.30 FE (GRAND LARCENY-4TH E Felony) |160.15 FB (ROBBERY-1ST B Felony),Black,Male,15525
25001.0,110-125.25 FB (Attempted MURDER B Felony) |160.15 FB (ROBBERY-1ST B Felony),Black,Male,110125
75000.0,140.30 FB (BURGLARY-1ST B Felony),Black,Male,14030
100001.0,220.77 FA ( A Felony) |220.16 FB (CRIM POSS CONTRL SUBST-3RD B Felony),Black,Male,22077
20000.0,140.30 FB (BURGLARY-1ST B Felony),Black,Male,14030
25000.0,140.30 FB (BURGLARY-1ST B Felony),Black,Male,14030
100000.0,140.30 FB (BURGLARY-1ST B Felony),Black,Male,14030
500000.0,130.96 FA ( A Felony),Other,Male,13096
20000.0,140.30 FB (BURGLARY-1ST B Felony),White,Male,14030
150000.0,140.30 FB (BURGLARY-1ST B Felony),Other,Male,14030
50000.0,490.20 FD (MAKE TERRORISTIC THREAT D Felony),White,Male,49020
25000.0,130.96 FA ( A Felony),Black,Male,13096
3500.0,140.30 FB (BURGLARY-1ST B Felony),Black,Male,14030
100000.0,130.96 FA ( A Felony),Black,Male,13096
1000001.0,140.25 FC (BURGLARY-2ND C Felony) |140.25 FC (BURGLARY-2ND C Felony),Other,Male,14025
40001.0,160.10 FC (ROBBERY-2ND C Felony) |120.20 MA (RECKLESS ENDANGERMENT-2ND A Misdemeanor),Black,Male,16010
20000.0,110-160.10 FD (Attempted ROBBERY-2ND D Felony),Black,Male,110160
100001.0,220.18 FA (CRIM POSS CONTRL SUBST-2ND A Felony) |265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony),Black,Male,22018
50000.0,140.30 FB (BURGLARY-1ST B Felony),Black,Male,14030
60001.0,140.25 FC (BURGLARY-2ND C Felony) |140.25 FC (BURGLARY-2ND C Felony),Black,Male,14025
