bond_info,charges,race,gender,first_statute
200000.0,140.30 FB (BURGLARY-1ST B Felony) |160.10 FC (ROBBERY-2ND C Felony),Black,Male,14030
75001.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony) |220.03 MA (CRIM POSS CONTRL SUBST A Misdemeanor),Black,Male,26503
15004000.0,125.25 FA (MURDER A Felony) |120.00 MA (ASSAULT-3RD A Misdemeanor) |511(3)(I) FE ( E Felony),Black,Male,12525
350000.0,110-130.50 FC (Attempted CRIMINAL SEXUAL ACT-1ST C Felony),Other,Male,110130
20001.0,220.16 FB (CRIM POSS CONTRL SUBST-3RD B Felony) |220.39 FB (CRIM SALE CONTRL SUBST B Felony) |220.39 FB (CRIM SALE CONTRL SUBST B Felony),Black,Male,22016
50000.0,140.20 FD (BURGLARY-3RD D Felony),Other,Male,14020
5001.0,120.05 FD (ASSAULT -2ND D Felony) |165.15 MA (THEFT OF SERVICES A Misdemeanor),Black,Male,12005
250000.0,140.20 FD (BURGLARY-3RD D Felony),Black,Male,14020
100000.0,160.15 FB (ROBBERY-1ST B Felony) |220.03 MA (CRIM POSS CONTRL SUBST A Misdemeanor) |120.00 MA (ASSAULT-3RD A Misdemeanor) |165.45 FE (POSSESSION STOLEN PROPERTY-2ND E Felony),Black,Male,16015
15000.0,110-120.07 FC (Attempted GANG ASSAULT 1ST DEGREE C Felony),Black,Male,110120
100001.0,130.65 FD (SEXUAL ABUSE-1ST D Felony) |120.00 MA (ASSAULT-3RD A Misdemeanor),Black,Male,13065
999.0,215.52 FD (AGGRAVATED CRIM CONTEMPT D Felony) |CO ZT (Court Order ),Other,Male,21552
150004.0,155.25 MA (PETIT LARCENY A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor) |125.20 FB (MANSLAUGHTER -1ST B Felony),Other,Male,15525
10000.0,215.51 FE (CRIMINAL CONTEMPT-1ST E Felony) |215.51 FE (CRIMINAL CONTEMPT-1ST E Felony),Black,Male,21551
600000000.0,155.42 FB (GR LARC 1-VALUE &gt; $1 MILLION B Felony),Black,Male,15542
10002.0,145.10 FD (CRIMINAL MISCHIEF-1ST D Felony) |145.20 FD (CRIMINAL TAMPERING-1ST D Felony) |145.10 FD (CRIMINAL MISCHIEF-1ST D Felony),White,Male,14510
175001.0,220.03 MA (CRIM POSS CONTRL SUBST A Misdemeanor) |160.10 FC (ROBBERY-2ND C Felony) |160.15 FB (ROBBERY-1ST B Felony),Other,Male,22003
75000.0,110-265.03 FD (Attempted CRIM POSS WEAPON- 2ND DEGREE D Felony),Black,Male,110265
10005.0,140.15 MA (CRIMINAL TRESPASS-1ST A Misdemeanor) |155.30 FE (GRAND LARCENY-4TH E Felony) |155.25 MA (PETIT LARCENY A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor) |155.30 FE (GRAND LARCENY-4TH E Felony) |160.10 FC (ROBBERY-2ND C Felony),Black,Male,14015
350000.0,140.20 FD (BURGLARY-3RD D Felony),Other,Male,14020
25000.0,140.20 FD (BURGLARY-3RD D Felony),Indian,Male,14020
258000.0,120.10 FB (ASSAULT-1ST B Felony) |110-120.05 FE (Attempted ASSAULT -2ND E Felony),Black,Male,12010
50001.0,160.15 FB (ROBBERY-1ST B Felony) |265.02 FD (CRIM POSS WEAP-3RD DEG D Felony),Other,Male,16015
15000.0,215.51 FE (CRIMINAL CONTEMPT-1ST E Felony) |215.51 FE (CRIMINAL CONTEMPT-1ST E Felony),White,Male,21551
50003.0,160.10 FC (ROBBERY-2ND C Felony) |220.03 MA (CRIM POSS CONTRL SUBST A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor) |110-120.10 FC (Attempted ASSAULT-1ST C Felony),Black,Male,16010
149999.0,130.96 FA ( A Felony) |AC 000.00 UZ,Other,Male,13096
7502.0,160.15 FB (ROBBERY-1ST B Felony) |155.25 MA (PETIT LARCENY A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor),Black,Male,16015
20001.0,155.30 FE (GRAND LARCENY-4TH E Felony) |160.10 FC (ROBBERY-2ND C Felony),Black,Male,15530
50000.0,140.20 FD (BURGLARY-3RD D Felony),Black,Male,14020
100001.0,160.15 FB (ROBBERY-1ST B Felony) |160.10 FC (ROBBERY-2ND C Felony) |160.10 FC (ROBBERY-2ND C Felony),Black,Male,16015
10000.0,140.20 FD (BURGLARY-3RD D Felony),White,Male,14020
7501.0,215.51 FE (CRIMINAL CONTEMPT-1ST E Felony) |215.51 FE (CRIMINAL CONTEMPT-1ST E Felony),White,Male,21551
300002.0,220.03 MA (CRIM POSS CONTRL SUBST A Misdemeanor) |140.20 FD (BURGLARY-3RD D Felony) |140.25 FC (BURGLARY-2ND C Felony) |140.25 FC (BURGLARY-2ND C Felony) |140.20 FD (BURGLARY-3RD D Felony) |140.20 FD (BURGLARY-3RD D Felony),Black,Male,22003
10000.0,140.20 FD (BURGLARY-3RD D Felony),Black,Male,14020
100001.0,190.79 FE (IDENTITY THEFT 2ND DEGREE E Felony) |220.16 FB (CRIM POSS CONTRL SUBST-3RD B Felony) |220.03 MA (CRIM POSS CONTRL SUBST A Misdemeanor),Other,Male,19079
10002.0,160.15 FB (ROBBERY-1ST B Felony) |155.25 MA (PETIT LARCENY A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor),Other,Male,16015
25001.0,240.30 MA (AGGRAVATED HARRASSMENT-2ND A Misdemeanor) |130.65 FD (SEXUAL ABUSE-1ST D Felony),White,Male,24030
9998.0,160.15 FB (ROBBERY-1ST B Felony) |AC 000.00 UZ|AC 000.00 UZ,Black,Male,16015
