Age,Race,Sex,Charge,Bond,Duration_Jail
21,Black,F,FAILURE TO APPEAR,50000.0,-1
21,Black,F,RULE 8.1 HEARING,0.0,-1
21,Black,F,HOLD FOR OTHER DEPT,0.0,-1
21,Black,F,FAILURE TO APPEAR,0.0,-1
21,Black,F,RULE 8.1 HEARING,0.0,-1
21,Black,F,FAILURE TO PAY FINES AND COST,0.0,-1
44,Hispanic,M,COURTESY/CONTRACT HOLD,0.0,-1
44,Hispanic,M,HOLD FOR OTHER DEPT,0.0,-1
20,Black,M,HOLD FOR OTHER DEPT,0.0,-1
20,Black,M,COURTESY/CONTRACT HOLD,0.0,-1
29,Black,M,FLEEING,0.0,-1
29,Black,M,RESISTING ARREST / ACTIVE OR PASSIVE,0.0,-1
29,Black,M,POSSESSION OF CONTROLLED SUBSTANCE,0.0,-1
29,Black,M,OBSTRUCTING GOVERNMENTAL OPERATIONS / FA,0.0,-1
29,Black,M,RULE 8.1 HEARING,0.0,-1
29,Black,M,FAILURE TO APPEAR,2000.0,-1
29,Black,M,RULE 8.1 HEARING,0.0,-1
29,Black,M,PAROLE VIOLATION,0.0,-1
29,Black,M,ADC PAROLE VIOLATED 90 DAYS,0.0,-1
51,White,M,PAROLE VIOLATION,0.0,-1
51,White,M,POSSESSION OF FIREARM BY CERTAIN PERSONS,5000.0,-1
51,White,M,POSSESSION OF DRUG PARAPHERNALIA,0.0,-1
51,White,M,RULE 8.1 HEARING,0.0,-1
28,Black,M,DISORDERLY CONDUCT,800.0,-1
28,Black,M,CRIMINAL MISCHIEF - 1ST DEGREE,0.0,-1
28,Black,M,RULE 8.1 HEARING,0.0,-1
26,p,M,FAILURE TO APPEAR,100000.0,-1
26,p,M,RULE 8.1 HEARING,0.0,-1
26,p,M,HOLD FOR OTHER DEPT,0.0,-1
26,p,M,HOLD FOR OTHER DEPT,0.0,-1
26,p,M,RULE 8.1 HEARING,0.0,-1
26,p,M,HOLD FOR OTHER DEPT,0.0,-1
27,Hispanic,F,ACT 309 TRUSTY,0.0,-1
33,Hispanic,M,COURTESY/CONTRACT HOLD,0.0,-1
58,Hispanic,M,COURTESY/CONTRACT HOLD,0.0,-1
25,Black,M,CIVIL MATTER,0.0,-1
25,Black,M,POSSESSION OF FIREARM BY CERTAIN PERSONS,0.0,-1
25,Black,M,THEFT BY RECEIVING,0.0,-1
25,Black,M,RULE 8.1 HEARING,0.0,-1
25,Black,M,PAROLE VIOLATION,0.0,-1
