Sex,Race,Charge,Bond,Duration_Jail
M,Black,POSS SCH 1 DRUGS,20000.0,1
M,Black,DIST/MANF SCH1 DRUG,0.0,-1
M,Black,CRUELTY TO ANIMALS,0.0,16
F,Black,CRUELTY TO JUVENILES,2500.0,-1
F,Black,WARRANT/BENCH WARRAN,0.0,-1
F,Black,CRIM DAM TO PROP/SIM,0.0,-1
F,Black,BATT/SIMPLE/CC,500.0,-1
F,Black,EQUIPMENT VIOL/CC,0.0,-1
M,White,UNKNOWN CHARGE FROM,0.0,-1
M,Black,UNKNOWN CHARGE FROM,0.0,-1
M,Black,,,-1
M,Black,UNKNOWN CHARGE FROM,0.0,-1
M,Hispanic,,,-1
M,Hispanic,,,-1
M,Black,DIST/MANF SCH1 DRUG,0.0,-1
M,Black,DIST/MANF SCH 2 DRUG,0.0,-1
M,Black,DIST/MANF SCH 2 DRUG,0.0,-1
M,Black,POSS SCH 2 DRUGS,0.0,-1
M,Black,DIST/MANF SCH1 DRUG,0.0,-1
M,Black,POSS LEGEND DRUG,0.0,-1
M,Black,D/L SUSP/REV,0.0,-1
M,Black,WARRANT/BENCH WARRAN,0.0,-1
F,White,,,-1
M,Black,THEFT,0.0,-1
M,Black,THEFT,0.0,-1
M,Black,D/L NOT IN POSS/CC,0.0,-1
M,Black,OTHER LAWS OF THE RO,0.0,-1
F,Black,,,1
F,White,HOLD/RET OTHER AGENC,0.0,-1
M,Black,SECOND DEGREE MURDER,260000.0,-1
M,Black,ILLEGAL CARRYING OF,0.0,-1
M,Black,HOME INVASION,7500.0,-1
M,Black,POSS SCH 1 DRUGS,15000.0,-1
M,Black,POSS SCH 3 DRUGS,0.0,-1
M,Black,WARRANT/BENCH WARRAN,0.0,-1
M,Black,TERRORIZING,40000.0,-1
M,White,HOLD/RET OTHER AGENC,0.0,13
M,Black,SECOND DEGREE MURDER,75000.0,-1
M,Black,ILL USE OF A WEAPON,0.0,-1
M,Black,UNAU USE OF MOTOR VE,65000.0,-1
M,Black,CRIM DAM TO PROP/AGG,0.0,-1
M,Black,RESISTING AN OFFICER,0.0,-1
M,Black,AGGRAVATED BURGLARY,95000.0,-1
M,Black,THEFT OF A FIREARM,0.0,-1
M,Black,BURGLARY/S INHAB DWE,23000.0,-1
M,Black,THEFT,0.0,-1
M,Black,WARRANT/BENCH WARRAN,0.0,-1
M,Black,UNKNOWN CHARGE FROM,0.0,-1
F,Black,,,-1
M,Black,WARRANT/BENCH WARRAN,0.0,2
M,Black,ILLEGAL CARRYING OF,35000.0,-1
M,Black,THEFT/MISD/SHOPLIFTI,500.0,-1
M,White,FUGITIVE FROM JUSTIC,0.0,-1
M,White,BURGLARY/SIMPLE,10000.0,-1
M,Black,CRIM DAM TO PROP/AGG,0.0,435
M,White,"FAIL TO SIGNAL, IMPR",10000.0,10
M,White,POSS SCH 2 DRUGS,0.0,10
M,White,WARRANT/BENCH WARRAN,0.0,10
M,White,OBSTRUCTION OF JUSTI,0.0,10
M,White,WARRANT/BENCH WARRAN,0.0,10
M,White,SPEEDING/CC,0.0,10
M,White,RESISTING AN OFFICER,0.0,-1
M,Black,BATTERY OF A POLICE,0.0,-1
M,Black,RESISTING AN OFFICER,0.0,-1
M,Black,POSS SCH 2 DRUGS,0.0,-1
M,Black,THEFT,0.0,-1
M,Black,DIST/MANF SCH1 DRUG,0.0,-1
M,Black,BURGLARY/SIMPLE,0.0,-1
M,Black,THEFT OF A FIREARM,0.0,-1
M,Black,SCH I / LESS THAN 2,0.0,-1
M,Black,PROBATION OR PAROLE,0.0,-1
M,Black,WARRANT/BENCH WARRAN,500.0,4
M,Black,POSS SCH 2 DRUGS,7500.0,-1
M,Black,POSS SCH 1 / MARIJUA,3500.0,0
M,Black,WARRANT/BENCH WARRAN,0.0,0
F,Black,SIMPLE BATTERY,15000.0,-1
F,Black,UNAUTHORIZED USE OF,0.0,-1
F,Black,ILL USE OF 911/CC,0.0,-1
M,Black,,,-1
M,Black,DOMESTIC ABUSE BATTE,70000.0,-1
M,Black,POSS/DIST MANF CULT,0.0,-1
M,Black,POSS SCH 2 DRUGS,0.0,-1
M,Black,POSS/DIST MANUF SCHE,0.0,-1
F,White,THEFT,0.0,-1
M,None,FUGITIVE FROM JUSTIC,0.0,-1
M,None,FIRST DEGREE MURDER,0.0,-1
M,None,SECOND DEGREE KIDNAP,30000.0,-1
M,None,POSS/DIST MANF SCH I,14000.0,-1
M,None,CONTRABAND PENAL INS,0.0,-1
F,White,FUGITIVE FROM JUSTIC,0.0,9
F,White,UNAU ENTRY INHAB DWE,5000.0,9
M,Black,SECOND DEGREE MURDER,210000.0,-1
M,Black,ILL USE OF A WEAPON,0.0,-1
M,Black,OBSTRUCTION OF JUSTI,0.0,-1
M,Black,DIST/MANF SCH1 DRUG,210000.0,-1
M,Black,DIST/MANF SCH 2 DRUG,0.0,-1
