bond_info,charges,race,gender,first_statute
50000.0,110-120.10 FC (Attempted ASSAULT-1ST C Felony),Other,Male,110120
50000.0,110-125.25 FB (Attempted MURDER B Felony),Black,Male,110125
1000000.0,110-125.25 FB (Attempted MURDER B Felony),Black,Male,110125
15000.0,120.05 FD (ASSAULT -2ND D Felony),Black,Male,12005
500000.0,230.34 FB ( B Felony),Black,Male,23034
200000.0,140.30 FB (BURGLARY-1ST B Felony) |160.10 FC (ROBBERY-2ND C Felony),Black,Male,14030
250000.0,130.96 FA ( A Felony),Black,Male,13096
13001.0,250.45 FE (UNLAWFUL SURVEILLANCE-2ND E Felony) |130.52 MA (FORCIBLE TOUCHING A Misdemeanor) |155.30 FE (GRAND LARCENY-4TH E Felony),White,Male,25045
75001.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony) |220.03 MA (CRIM POSS CONTRL SUBST A Misdemeanor),Black,Male,26503
50000.0,110-125.25 FB (Attempted MURDER B Felony),Black,Female,110125
1001.0,130.52 MA (FORCIBLE TOUCHING A Misdemeanor) |220.03 MA (CRIM POSS CONTRL SUBST A Misdemeanor),Other,Male,13052
10001.0,155.30 FE (GRAND LARCENY-4TH E Felony) |155.35 FD (GRAND LARCENY-2ND D Felony) |155.30 FE (GRAND LARCENY-4TH E Felony),White,Male,15530
10000.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony),Other,Male,26503
50000.0,110-120.10 FC (Attempted ASSAULT-1ST C Felony),Other,Male,110120
500.0,VTL 511 MA ( A Misdemeanor),Other,Male,0
10000000.0,125.25 FA (MURDER A Felony),Black,Male,12525
50000.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony),Black,Male,26503
7500.0,110-125.25 FB (Attempted MURDER B Felony),Black,Male,110125
500000.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony),Black,Male,26503
75000.0,160.10 FC (ROBBERY-2ND C Felony),Black,Male,16010
15004000.0,125.25 FA (MURDER A Felony) |120.00 MA (ASSAULT-3RD A Misdemeanor) |511(3)(I) FE ( E Felony),Black,Male,12525
150002.0,110-125.25 FB (Attempted MURDER B Felony) |120.00 MA (ASSAULT-3RD A Misdemeanor) |221.10 MB (CRIM POSS MARIJUANA-5TH B Misdemeanor),Black,Male,110125
7500.0,120.05 FD (ASSAULT -2ND D Felony),Black,Male,12005
10000.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony),Other,Male,26503
10000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
5000.0,130.65 FD (SEXUAL ABUSE-1ST D Felony),Black,Male,13065
5500.0,121.12 FD ( D Felony) |120.00 MA (ASSAULT-3RD A Misdemeanor),Black,Male,12112
20000.0,110-120.10 FC (Attempted ASSAULT-1ST C Felony),Black,Male,110120
10000.0,135.65 FD (COERCION-1ST D Felony),Black,Male,13565
10000.0,121.12 FD ( D Felony),White,Male,12112
5000.0,120.05 FD (ASSAULT -2ND D Felony),Black,Male,12005
50000.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony),Black,Male,26503
35000.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony),Black,Male,26503
50001.0,110-125.25 FB (Attempted MURDER B Felony) |220.03 MA (CRIM POSS CONTRL SUBST A Misdemeanor),Black,Male,110125
150001.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony) |VTL 511 MA ( A Misdemeanor),Black,Male,26503
25000.0,140.25 FC (BURGLARY-2ND C Felony),Black,Male,14025
25000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
60000.0,215.15 FE (BRIBING A JUROR E Felony) |CO ZT (Court Order ),Black,Male,21515
200000.0,110-230.34 FC ( C Felony),Other,Male,110230
150000.0,125.25 FA (MURDER A Felony),Black,Male,12525
30000.0,150.15 FB (ARSON -1ST B Felony),Black,Male,15015
10000.0,121.12 FD ( D Felony),Black,Male,12112
1000.0,160.10 FC (ROBBERY-2ND C Felony),White,Male,16010
10001.0,120.20 MA (RECKLESS ENDANGERMENT-2ND A Misdemeanor) |265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony),Black,Male,12020
5000.0,215.51 FE (CRIMINAL CONTEMPT-1ST E Felony),Other,Male,21551
75000.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony),Other,Male,26503
140000.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony) |120.25 FD (RECKLESS ENDANGERMENT-1ST D Felony) |0,Black,Male,26503
25000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
75000.0,160.15 FB (ROBBERY-1ST B Felony),Other,Male,16015
50000.0,160.15 FB (ROBBERY-1ST B Felony) |AC 000.00 UZ|120.05 FD (ASSAULT -2ND D Felony),Other,Male,16015
75001.0,110-120.10 FC (Attempted ASSAULT-1ST C Felony) |176.20 FD (INSURANCE FRAUD-3RD:&gt; $3000 D Felony),Black,Male,110120
100000.0,215.51 FE (CRIMINAL CONTEMPT-1ST E Felony),Black,Male,21551
35000.0,110-140.30 FC (Attempted BURGLARY-1ST C Felony),Other,Male,110140
50000.0,120.10 FB (ASSAULT-1ST B Felony),Black,Male,12010
30000.0,160.10 FC (ROBBERY-2ND C Felony),Other,Male,16010
150000.0,130.35 FB (RAPE-1ST B Felony),Unknown,Male,13035
150000.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony),Black,Male,26503
250000.0,135.20 FB (KIDNAPPING 2ND B Felony),Black,Male,13520
50000.0,140.25 FC (BURGLARY-2ND C Felony),White,Male,14025
20001.0,215.51 FE (CRIMINAL CONTEMPT-1ST E Felony) |120.05 FD (ASSAULT -2ND D Felony) |120.15 MB (MENACING-3RD B Misdemeanor),Black,Male,21551
250000.0,130.35 FB (RAPE-1ST B Felony),Black,Male,13035
350000.0,110-130.50 FC (Attempted CRIMINAL SEXUAL ACT-1ST C Felony),Other,Male,110130
20001.0,220.16 FB (CRIM POSS CONTRL SUBST-3RD B Felony) |220.39 FB (CRIM SALE CONTRL SUBST B Felony) |220.39 FB (CRIM SALE CONTRL SUBST B Felony),Black,Male,22016
10000.0,160.05 FD (ROBBERY-3RD D Felony),Black,Male,16005
5000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
250000.0,110-125.25 FB (Attempted MURDER B Felony),Black,Male,110125
250000.0,140.30 FB (BURGLARY-1ST B Felony),Black,Male,14030
50001.0,110-150.15 FC (Attempted ARSON -1ST C Felony) |120.05 FD (ASSAULT -2ND D Felony),Black,Male,110150
250000.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony),Other,Male,26503
50000.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony),Black,Male,26503
20000.0,160.10 FC (ROBBERY-2ND C Felony),Black,Male,16010
25000.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony),Black,Male,26503
20000.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony),Black,Male,26503
5000.0,220.16 FB (CRIM POSS CONTRL SUBST-3RD B Felony),Black,Male,22016
5001.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony) |155.25 MA (PETIT LARCENY A Misdemeanor),Black,Male,26503
50000.0,140.20 FD (BURGLARY-3RD D Felony),Other,Male,14020
50000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
65000.0,120.05 FD (ASSAULT -2ND D Felony) |120.05 FD (ASSAULT -2ND D Felony),Other,Male,12005
100000.0,140.30 FB (BURGLARY-1ST B Felony),Black,Male,14030
74999.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony) |AC 000.00 UZ,Black,Male,26503
50000.0,120.05 FD (ASSAULT -2ND D Felony) |140.25 FC (BURGLARY-2ND C Felony),Black,Male,12005
25000.0,120.05 FD (ASSAULT -2ND D Felony),Other,Male,12005
25000.0,120.05 FD (ASSAULT -2ND D Felony),Black,Male,12005
7500.0,220.18 FA (CRIM POSS CONTRL SUBST-2ND A Felony),Black,Male,22018
75000.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony) |AC 999.99 FE ( E Felony),Black,Male,26503
9999.0,130.53 FE (PERSISTENT SEXUAL ABUSE E Felony) |CO ZT (Court Order ),Black,Male,13053
5001.0,120.05 FD (ASSAULT -2ND D Felony) |165.15 MA (THEFT OF SERVICES A Misdemeanor),Black,Male,12005
20001.0,215.50 MA (CRIMINAL CONTEMP- 2ND A Misdemeanor) |215.51 FE (CRIMINAL CONTEMPT-1ST E Felony),Black,Male,21550
20000.0,140.25 FC (BURGLARY-2ND C Felony),Other,Male,14025
30000.0,110-160.15 FC (Attempted ROBBERY-1ST C Felony),Black,Male,110160
